time,data
2017-05-25 15:03:39,5.01595
2017-05-25 15:03:40,5.01605
2017-05-25 15:03:41,5.016
2017-05-25 15:03:46,5.01605
2017-05-25 15:03:47,5.0161
2017-05-25 15:03:49,5.01615
2017-05-25 15:03:50,5.0162
2017-05-25 15:03:51,5.01615
2017-05-25 15:03:52,5.01605
2017-05-25 15:03:54,5.0161
2017-05-25 15:03:55,5.0162
2017-05-25 15:03:56,5.0163
2017-05-25 15:03:57,5.0163
2017-05-25 15:04:01,5.01635
2017-05-25 15:04:02,5.0164
2017-05-25 15:04:03,5.01615
2017-05-25 15:04:04,5.0165
2017-05-25 15:04:05,5.0164
2017-05-25 15:04:06,5.0164
2017-05-25 15:04:07,5.01675
2017-05-25 15:04:08,5.01685
2017-05-25 15:04:09,5.01685
2017-05-25 15:04:10,5.01685
2017-05-25 15:04:11,5.0169
2017-05-25 15:04:12,5.0168
2017-05-25 15:04:13,5.01695
2017-05-25 15:04:17,5.0169
2017-05-25 15:04:18,5.01675
2017-05-25 15:04:19,5.0167
2017-05-25 15:04:20,5.0166
2017-05-25 15:04:21,5.0169
2017-05-25 15:04:24,5.01685
2017-05-25 15:04:25,5.017
2017-05-25 15:04:27,5.01695
2017-05-25 15:04:28,5.0169
2017-05-25 15:04:29,5.0168
2017-05-25 15:04:30,5.01695
2017-05-25 15:04:31,5.017
2017-05-25 15:04:32,5.0169
2017-05-25 15:04:33,5.01675
2017-05-25 15:04:34,5.0167
2017-05-25 15:04:35,5.01695
2017-05-25 15:04:36,5.01685
2017-05-25 15:04:37,5.0169
2017-05-25 15:04:38,5.01685
2017-05-25 15:04:39,5.0175
2017-05-25 15:04:40,5.0175
2017-05-25 15:04:41,5.0173
2017-05-25 15:04:45,5.01725
2017-05-25 15:04:46,5.01735
2017-05-25 15:04:47,5.0174
2017-05-25 15:04:48,5.0175
2017-05-25 15:04:52,5.01745
2017-05-25 15:04:53,5.0175
2017-05-25 15:04:54,5.0176
2017-05-25 15:04:55,5.01795
2017-05-25 15:04:56,5.0176
2017-05-25 15:04:57,5.0178
2017-05-25 15:04:58,5.01775
2017-05-25 15:04:59,5.0178
2017-05-25 15:05:00,5.0178
2017-05-25 15:05:01,5.0174
2017-05-25 15:05:02,5.0175
2017-05-25 15:05:03,5.01745
2017-05-25 15:05:04,5.01785
2017-05-25 15:05:05,5.01755
2017-05-25 15:05:06,5.01745
2017-05-25 15:05:07,5.01745
2017-05-25 15:05:08,5.0172
2017-05-25 15:05:10,5.0173
2017-05-25 15:05:11,5.01715
2017-05-25 15:05:12,5.017
2017-05-25 15:05:13,5.01715
2017-05-25 15:05:14,5.01705
2017-05-25 15:05:15,5.01705
2017-05-25 15:05:16,5.01735
2017-05-25 15:05:17,5.0174
2017-05-25 15:05:18,5.01735
2017-05-25 15:05:19,5.01765
2017-05-25 15:05:20,5.0179
2017-05-25 15:05:21,5.0182
2017-05-25 15:05:22,5.0183
2017-05-25 15:05:23,5.01805
2017-05-25 15:05:24,5.0181
2017-05-25 15:05:25,5.01805
2017-05-25 15:05:26,5.0181
2017-05-25 15:05:27,5.01815
2017-05-25 15:05:28,5.0182
2017-05-25 15:05:29,5.01785
2017-05-25 15:05:30,5.01805
2017-05-25 15:05:31,5.01835
2017-05-25 15:05:32,5.0183
2017-05-25 15:05:33,5.01815
2017-05-25 15:05:35,5.0181
2017-05-25 15:05:37,5.01815
2017-05-25 15:05:38,5.0181
2017-05-25 15:05:39,5.01815
2017-05-25 15:05:40,5.01875
2017-05-25 15:05:41,5.0187
2017-05-25 15:05:42,5.01885
2017-05-25 15:05:43,5.0185
2017-05-25 15:05:44,5.01835
2017-05-25 15:05:45,5.018
2017-05-25 15:05:46,5.01805
2017-05-25 15:05:47,5.01845
2017-05-25 15:05:48,5.0185
2017-05-25 15:05:49,5.0185
2017-05-25 15:05:51,5.0186
2017-05-25 15:05:52,5.01855
2017-05-25 15:05:53,5.0191
2017-05-25 15:05:54,5.01875
2017-05-25 15:05:55,5.0187
2017-05-25 15:05:56,5.0184
2017-05-25 15:05:57,5.0184
2017-05-25 15:05:58,5.0183
2017-05-25 15:06:00,5.01825
2017-05-25 15:06:01,5.0182
2017-05-25 15:06:02,5.0181
2017-05-25 15:06:03,5.018
2017-05-25 15:06:04,5.01795
